"name","age","dni","source","tags","phone","external_id"
"Ardith D. Dolley","38","48810136543","Email RESPONSE","never_call28","2 43 1522 9547","90106"
"Eugenie T. Minerva","59","93953469223","MANUAL REGistration","treaty|client_only|source_dependant","6 88 3721 2319","75673"
"Vera Schnell","24","19455965146","Email response","rangeof_action","+54 2 17 3474-8005","83332"
"Norri W. Cruz","52","54294900903","google Forms","treaty|remove_of_source","+54 3 54 6469-6981","75250"
"Korney Dene","30","54695313870","MANUAL REGistration","case114|source_dependant1|source_dependant17","+54 4 83 4737-6344","12930"
"Glenda Herbie","102","14632572967","Email RESPONSE","never_call1","+54 8 19 9474 3818","49126"
"Alena T. Psyche","98","19493867173","Facebook Leads","client_only","+54 9 74 5069 2520","20412"
"Carmen G. Selia","122","55091887721","google Forms","client_only","6 37 3549 1460","85396"
"Brandise Fredette","50","89280163920","Email response","techsource_29|on_consideration","7 97-1349 7400","70711"
"Zonda Dachi","107","16613296029","Manual registration","contactondemand|case1","+54 2 17-2748-9597","92705"
"Lily C. Chet","60","14565750053","Facebook Leads","client_only|on_consideration29|apply_0_cases","4 56 7364-4572","48368"
"Bernardine Quiteris","9","56693616500","google Forms","limit","7-39 1697 6226","30622"
"Gertrud Angelica","26","93446660589","Google forms","possible_buyer14|contactcenter_region1","+54 5 33 5236 4370","66157"
"Libbie L. Adamik","70","38016288530","google Forms","apply_0_cases|contactcenter_region4","3 74 3900 4974","93894"
"Imojean Dillie","73","73653038955","Manual registration","actionpending|contactcenter_region416","9 53 1879 2311","73624"
"Ruthy Tannenbaum","21","17461310369","google Forms","never_call1|any_applicant","2 59 6340 5857","75648"
"Eulalie Feola","70","44518670858","google Forms","actionpending|apply_0_cases","+54 6-73-6889 3077","32194"
"Meggie Gittle","23","66422975651","Email response","call_again19|limit|least_interested22","3 65 3423 2468","44296"
"Lotty Howlan","59","56969562574","Facebook Leads","never_call|rangeof_action","7 27 1679 6888","13786"
"Wilone W. Wandy","51","42650740565","Email response","client_only|actionable11","1 74 9878-9197","67622"
"Ashli Langley","49","34093481726","Google forms","actionpending","8 98 4199 5457","49000"
"Desdemona Cohlier","103","71344979350","google form","limit22|contactcenter_region417|techsource_29","+54 4 77-2236-7634","85828"
"Jeri Ulah","91","84187270733","google Forms","limit|on_consideration","7 54 8878 5114","55218"
"Oona Wixted","116","63531790570","facebook leads","apply_0_cases|treaty24","3 15 9745 2429","31813"
"Evangelin P. Musa","74","43914569576","Google forms","limit|contactcenter_region3","+54 4 70 5901 2820","95082"
"Em Lowenstein","26","85944003426","Manual registration","form_ui344|contactcenter_region4","5 98 2785 7543","12066"
"Alice M. Trow","89","72182209611","Facebook Leads","contactcenter_region4","6-29 9032 7708","75855"
"Laurie W. Torray","91","72727291633","MANUAL REGistration","techsource_2911|apply_0_cases|apply_0_cases","5-17 7924 9139","92106"
"Eleni Arlinda","113","39848652228","MANUAL REGistration","contactcenter_region48|apply_0_cases3|most_interested","6 11-4356 7980","70890"
"Susette September","32","25671731828","facebook leads","actionpending","+54 4 95 5338 1712","50830"
"Georgina Carisa","42","28964675492","Email responce","never_call","4 79 1245 3791","51106"
"Isa H. Obidiah","48","80317810961","Facebook Leads","client_only","8 68 5623 9671","73561"
"Essa Fulcher","70","44518670858","Email RESPONSE","special|apply_0_cases24","+54 6-73-6889 3077","19699"
"Reina N. Bergren","36","54172392288","google Forms","on_consideration|least_interested8|least_interested","+54 4-31 2493 60201","13228"
"Geralda Borrell","56","34389387760","Manual registration","special|possible_buyer","+54 4 22 8375 4589","47145"
"Yvette Cailly","114","44859310400","Manual registration","case1","1 40 3405 6888","25253"
"Dorree Garland","18","69157792664","facebook leads","contactcenter_region411","5 78 9093 86398","11490"
"Vanna W. Salot","33","58810662049","Email RESPONSE","limit","+54 7-63 7352 8994","32456"
"Loni N. Lonna","3","87874957157","Manual registration","possible_buyer1|any_applicant|any_applicant20","7 69 4502 4382","72410"
"Guenevere Burris","74","57382426025","Manual registration","client_only","+54 6-61 7377 2637","97623"
"Malory M. Aime","118","37715968691","facebook leads","form_ui344","4 15 7282 4717","59873"
"Gusella J. Dewitt","49","99451975707","google Forms","source_dependant","7-40 2746 3248","13741"
"Althea M. Chadbourne","102","22569570828","MANUAL REGistration","contactcenter_region1|on_consideration","9-96 1441 3545","27946"
"Alyss Ashia","103","39413621918","MANUAL REGistration","contactcenter_region112","2 23 5860 4813","48490"
"Zorana K. Ricca","49","97935307877","Email response","source_dependant","2-33 3679-1157","11575"
"Roselle C. Aires","40","76798204581","Email RESPONSE","contactcenter_region49","4 83 6689 4177","41751"
"Cassie Richman","101","58054152787","Google forms","contactondemand21","+54 9-56 6244 3530","96832"
"Josselyn Held","37","54167328780","google Forms","rangeof_action27|source_dependant","+54 3 92-7026-8531","70842"
"Cassie Benedick","1","57045009355","Email RESPONSE","never_call","+54 7-88 1619 1452","40165"
"Sharla R. Hebbe","99","86161716994","facebok Leads","actionable","1 48 7861 7001","15823"
"Carrie K. Neils","66","91794423920","Email response","treaty21|actionable|special5","+54 7 83 1021 7324","64555"
"Ardys Jilleen","28","75076608499","Google forms","actionpending","2 89 1498 7269","43713"
"Rita R. Roby","70","44518670858","Facebook Leads","most_interested|limit|never_call20","+54 6-73-6889 3077","21949"
"Brenna D. Maryjo","85","52887613183","Google forms","call_again","1 84-6879-5536","11465"
"Selinda T. Shugart","13","76561790581","Manual registration","contactcenter_region1|rangeof_action","8 12 2133-2150","41393"
"Jacklin E. Gilmore","111","57662866302","google Forms","actionpending|form_ui344|source_dependant","3-21 5980 2775","62210"
"Malia P. Elijah","100","63614619776","MANUAL REGistration","case1|actionpending|contactondemand","6 80 7284 5328","15702"
"Izabel Fine","109","29021268878","Email RESPONSE","any_applicant30","3 76 7639 2196","88675"
"Phelia J. Hunter","90","32458099951","google form","on_consideration|contactondemand20|case1","8-96-6237 1740","97236"
"Catarina Henryson","28","19208773782","manual-registration","contactcenter_region3|least_interested","6 32-3213-7765","51187"
"Eleanore Simeon","39","35312810839","Email RESPONSE","contactcenter_region32|techsource_29","6 98 5777 1009","10454"
"Ginnie Gardell","22","19943413979","Google forms","client_only2|contactcenter_region218","6 72 9313 5298","38342"
"Ysabel L. Merriott","63","14490392278","facebook leads","call_again|special28","7 78-4807 6978","59622"
"","97","933751203484","facebook leads","treaty","+54 6 26-9731 5241","82693"
"Chrissy Garvin","39","20003468694","Google forms","contactondemand","+54 8 74 3572 3734","44464"
"Tuesday P. Padgett","13","79133243984","Manual registration","techsource_292","1 77 3701 6253","47946"
"Melba B. Newby","118","76782823769","Manual registration","treaty|apply_0_cases|least_interested10","8 90 3904 6234","24471"
"Juliet E. Janek","64","8217210276429","facebook leads","techsource_2925|apply_0_cases","5 24 1214-4401","50321"
"Carrie Bergstein","34","38962342034","Google forms","form_ui344|actionpending|techsource_29","4-42 2731 3965","97573"
"Stephenie S. Spain","109","90850975569","Facebook Leads","on_consideration14|apply_0_cases","4-19 2149-5208","75511"
"Ingaborg McKenzie","43","61490414911","Email response","any_applicant|techsource_29|possible_buyer","4 49 2511-8723","82027"
"Olenka D. Cates","0","12687613825","Email RESPONSE","remove_of_source","+54 5 28 8045 2044","13121"
"Kiah Behrens","108","85587066152","facebook leads","rangeof_action|on_consideration","+54 3-19 1724 7645","30207"
"Carlin I. Fabyola","7","23711792196","Manual registration","treaty","9 57 5279 7551","85086"
"Pippy I. Ivens","98","65171090416","MANUAL REGistration","call_again|actionable","5-96 3823 5096","10473"
"Denise T. Baron","111","7567330177","Manual registration","never_call|contactondemand","7 38-7277 8600","37218"
"Talyah P. Tresa","117","26312038552","google Forms","techsource_297|rangeof_action14","7 89-6090 5817","89908"
"Kristi Oni","49","19692199519","Email RESPONSE","client_only19|techsource_29","1 24-9207 5278","13379"
"Malinda C. Laura","81","68262728504","Google forms","on_consideration|form_ui344|apply_0_cases","3 93 7671 6523","83966"
" B. Gayn","32","37542804163","Google forms","most_interested10","6-27 3759 5261","83418"
"Arabela Celinda","85","86400182105","Manual registration","possible_buyer|source_dependant","5 20 5732 9566","35676"
"Donica C. Burtie","38","76131106510","facebook leads","client_only","2-20-7443 3066","31079"
"Pattie B. Sarazen","86","19206820495","Facebook Leads","contactcenter_region4|techsource_29|most_interested","7 70-6202 6119","85535"
"Rickie Kilbride","83","49057231283","google Forms","rangeof_action17|case1|techsource_29","9 47 3503 5094","34004"
"Sissie R. Audrye","7","59602812669","google Forms","actionpending","+54 9-73 1160 65204","53636"
"Sindee Tarsuss","97","37745795240","MANUAL REGistration","client_only13","+54 2 30 4015 2173","11905"
"Avie G. Saimon","108","33030960887","google Forms","limit|treaty","2-77 2882-5817","89859"
"Aileen Abbie","111","27649985564","Manual registration","actionable|limit|most_interested27","6 78 9690 7139","74519"
"Lethia Erminna","2","11837185675","Email response","client_only|least_interested3","1-75 8385-5403","87614"
"Adda Dolhenty","57","80216981041","Google forms","contactcenter_region2|least_interested","6 32 6700 6767","66378"
"Kyla B.","81","47635275747","Google forms","special","+54 9 87 5115 9496","54003"
"Rodi Greenberg","55","84577489131","facebok Leads","techsource_29|client_only","9 35 4821-6047","12474"
"Veronica Stickney","74","56067729467","Manual registration","contactcenter_region2|on_consideration","6 50 2172 9561","83801"
"Blakelee Tamra","100","79914051776","Manual registration","client_only","8 30-8669 7413","29023"
"Paula P. Moffitt","102","65504323964","Email response","apply_0_cases|never_call","2 41 7803 4618","25980"
"Manon D. Harcourt","42","32013117662","Google forms","contactcenter_region330|treaty","1 30 4803 3372","34782"
"Brittaney Poland","25","6022302394123","Email response","apply_0_cases","+54 3-86 2841 9772","56687"
"Nalani C. Upali","120","26938033389","facebook leads","techsource_2913|form_ui344|case1","4 90 3730 2226","35016"
"Darlene A. LeRoy","9","77318859397","Facebook Leads","form_ui344|remove_of_source3","+54 1 86 2065 2169","33745"
"Stesha N. Shaya","76","11792301716","MANUAL REGistration","never_call27","+54 6 87 5598 2789","88670"
"Stefa Bresee","17","52902578772","Email RESPONSE","apply_0_cases|rangeof_action2|case121","+54 6 80-1783 7883","52154"
"Kit Moskow","55","96571554002","Facebook Leads","on_consideration27|actionable10","3 31-6831 9890","43035"
"Elaine Valerio","110","82486199625","Facebook Leads","contactcenter_region130","8-48 8727 1151","76864"
"Annabel Kurland","122","52854605153","google Forms","most_interested29","9 30 9111 4796","20811"
"Carmon Saffier","8","8726364758075","Manual registration","techsource_29","5 91 3653 5296","51280"
"Angelique Campney","93","66658551481","Email RESPONSE","remove_of_source16|limit|case1","+54 5 41 9340 7480","46114"
"Pierrette B. Atronna","22","57447287723","Manual registration","treaty20","6 22 1672 1442","30494"
"Maud Lyon","120","61961249507","facebook leads","techsource_29|any_applicant17|contactcenter_region22","9 46 7394 4160","76412"
"Nydia Kirbee","122","16184688635","facebook leads","contactcenter_region46|remove_of_source|case11","+54 3 19 6929 1810","62321"
"Mehetabel Shanahan","3","45311732493","google Forms","contactcenter_region1|case1","8-68 9731 7715","15934"
"Glynis J. Wadlinger","49","54089126421","Email response","client_only3","4 31 3535 6836","24233"
"Barbaraanne Eisenhart","66","81154203689","facebook leads","contactcenter_region429","9-94 2251-2888","47407"
"Gillie Lawson","117","70630588909","google Forms","call_again|treaty|contactcenter_region3","7 60 2625 1696","86450"
"Jacki Nysa","71","14662947179","manual-registration","limit2|remove_of_source","+54 8 34 2234-7169","71118"
"Nelle Tracee","19","99161891995","Email response","client_only","+54 7 84 5005 2436","59964"
"Mair N.","4","24013945794","MANUAL REGistration","least_interested5","7 61 4255 5094","86269"
"Jania","120","77541589554","Email RESPONSE","limit26|case129","5 71 1718 7883","97236"
"Rivi Wilfreda","76","22550943880","google Forms","actionable","6 33 2670 3874","55460"
"Erika Bailey","11","83177375747","Email RESPONSE","source_dependant29|on_consideration","3 46-8431 1972","35578"
"Doll Emmeline","51","45799903528","google form","most_interested|never_call5|rangeof_action","7 42 6212 4048","85221"
"Ilka Vickey","48","54562255433","MANUAL REGistration","treaty","+54 8 59 8363 2596","47847"
"Mari C. Friedlander","27","8341517142014","Manual registration","on_consideration|source_dependant","+54 8 37 4363 8912","10461"
"Happy E. Gavrah","41","81497786275","facebook leads","contactcenter_region4|apply_0_cases","5 20 8178 7049","95513"
"Violetta Tare","40","45586527986","google Forms","treaty","2 65-4165 7047","19841"
"Penelopa Marks","72","68098002526","facebook leads","treaty22|on_consideration","7-46 4932 8070","41940"
"Pegeen R. Mastat","116","44193142785","Facebook Leads","possible_buyer|actionable","4 33 4234 8702","54288"
"Roberta H. Tracay","118","92513570134","google Forms","most_interested9|possible_buyer","6 95 2720 1883","46817"
"Courtney C. Wojcik","98","99636747523","facebook leads","most_interested|any_applicant|special","4 19 5334-6209","40281"
"Rorie Guss","62","3977113323396","google form","client_only|rangeof_action|special","2-67-5664 6951","32230"
"Lyn Hezekiah","103","66689173384","MANUAL REGistration","rangeof_action22","+54 2 60-5017 3697","16504"
"Blancha B. Giffard","68","25378533460","Facebook Leads","techsource_29","9-51 2901 1595","16898"
"Ophelie M. Giverin","78","26091262188","Email response","contactcenter_region1|most_interested","3 88 7160 5212","48508"
"Norina E. Sherrard","69","55427713896","manual-registration","contactcenter_region220","7 16 9753 4395","96164"
"Betta V. Thorvald","87","88091263536","Facebook Leads","most_interested|possible_buyer|rangeof_action19","6 65 1822 5234","88358"
"Shena Z. Havstad","73","39581878129","Facebook Leads","contactondemand|special|contactcenter_region3","3 59 7096 9741","66629"
"Fernande F. Vasileior","77","80003039900","google form","limit23|limit|on_consideration","3 77-7807 8018","16792"
"Ellen Calvert","75","83679559109","Manual registration","apply_0_cases","9 60 8957 1897","67647"
"Tommi K. Kronfeld","41","76033030969","Google forms","any_applicant|source_dependant","+54 1 70-9133 1417","35578"
"Cherry Demodena","117","96656190694","Email RESPONSE","treaty9|remove_of_source|rangeof_action","5 55 1517 2945","29054"
"Madeleine Alasteir","79","98343635960","Email responce","actionpending|source_dependant","+54 4 59 6481 4883","67701"
"Lezlie S. Ehrman","27","39602028423","Google forms","special","6 56 1079 1062","62311"
"Geraldine Haldis","10","3786248743","Google forms","least_interested21","6 37 5617 4406","98855"
"Modesta S. Shayn","112","41678981034","facebok Leads","contactcenter_region2|most_interested29|call_again3","4 28 4912 6111","29260"
"Reba S. Loise","111","57662866302","Email response","treaty22","3-21 5980 2775","71760"
"Anna-Maria I. Charie","101","55893421515","Facebook Leads","remove_of_source|least_interested3","8 15 6376 9244","73977"
"Aurora M. Haag","54","95436127906","google form","contactcenter_region2|case1","5-85 3840 9466","94303"
"Margi Tenenbaum","83","5407379686566","Email response","special|any_applicant|techsource_29","1-56 7522-9305","36283"
"Gilli Albertina","114","36213844784","Email RESPONSE","remove_of_source|never_call16","+54 6 41 4752 5109","79926"
"Kissie R. Nahshon","90","79085665705","Manual registration","rangeof_action","6 60 8270 7232","53568"
"Nalani B. Wiatt","0","68889460041","Facebook Leads","remove_of_source5","+54 2-31 1000 7479","12299"
"Marijo B. Amos","41","47980277748","MANUAL REGistration","most_interested|remove_of_source30","+54 1 45 3905 5263","93482"
"Van Melany","56","11771513977","Email response","possible_buyer","3 93 6154 7664","33121"
"Debby Shanta","108","93621952041","Email RESPONSE","case1|source_dependant11|contactondemand","+54 9 27 7628 8269","95322"
"Penny Jocelyn","16","58142770309","google Forms","contactcenter_region2|limit12|contactcenter_region414","1 20 8105 1113","78910"
"Denise D. Danczyk","25","24975308839","facebok Leads","on_consideration10|techsource_29","+54 1-25 2170 1438","28457"
"Katusha H. Avram","3","18893949357","Email RESPONSE","contactcenter_region4","+54 3 25 8925 3763","82194"
"Kelci C. Kubiak","8","94149104572","facebook leads","call_again20|any_applicant","7 50 8420 9388","70889"
"Jodie K. Healion","84","32055932690","Google forms","on_consideration|possible_buyer","+54 8 26 3748 6333","24551"
"Batsheva Wiley","46","39571876563","facebook leads","call_again|least_interested|limit28","9 24 8559 5968","22024"
"Marika Malloy","82","21995932501","Email responce","actionpending15|possible_buyer","+54 5 70 6530 9040","35068"
"Joye A. Trammel","110","39937376628","MANUAL REGistration","case122","9 51 3226 7096","95188"
"Albertine Kapoor","12","20184314708","facebook leads","apply_0_cases","6 98-3954 1653","18864"
"Rosemaria Hoskinson","44","22143583098","Manual registration","contactcenter_region2|call_again|actionable29","5-94-4126 2482","81957"
"Morgana Avron","4","63760731051","google Forms","treaty","4-80 7777 7804","82633"
"Aggi Kathy","46","54689848376","Email RESPONSE","rangeof_action","6-15 2913 2430","80676"
"Blondy K. Burger","0","68889460041","Facebook Leads","contactondemand7","+54 2-31 1000 7479","39287"
"Siusan Grata","25","25160885159","Manual registration","never_call","+54 2-97 4707 6530","22465"
"Lena Ware","113","54939009028","Google forms","special|call_again","+54 4 53 8039 7506","99127"
" E. Justinn","99","74691305283","facebook leads","call_again14|call_again7","2 38-2283 6830","27592"
"Ivory C. Boelter","50","25771469263","Google forms","rangeof_action","+54 8 61 8929 9826","68753"
"Noni Quincey","39","51483668392","Email responce","contactondemand|limit|actionable","7 70 1025 5915","59224"
"Maurine P. Mosera","31","34297564945","facebok Leads","limit|contactcenter_region4","7 32 5129 9042","30048"
"Zaneta G. Latouche","42","40280887884","Google forms","contactcenter_region2","5 29-5755 6016","96895"
"Staci Krutz","112","31874987627","Email response","remove_of_source|most_interested|most_interested","6-37 9880 6604","93482"
"Michaelina Quillon","59","97758211058","Email RESPONSE","remove_of_source","9 51 4198 2308","98864"
"Candi D.","84","43523315323","Facebook Leads","contactondemand|case112","8 84-8960-6985","70180"
"Cymbre H. Sculley","79","6118973376377","Facebook Leads","apply_0_cases","+54 9-86 7410 3029","74752"
"Marquita Gefell","36","76273957233","Manual registration","source_dependant|call_again|techsource_29","2 64 2962-6273","33217"
"Blythe Calen","17","33638671200","Facebook Leads","contactcenter_region3|limit|call_again","+54 6 32-9013 3323","49164"
"Darya Cotsen","115","11905180195","MANUAL REGistration","client_only17|most_interested10","+54 3 68 4944 9146","76093"
"Vanessa Klos","88","95068294246","google Forms","remove_of_source27|contactcenter_region4|limit","+54 3 72 1456 9402","30664"
"Shelbi Littell","114","59123340347","Email response","contactcenter_region3|contactondemand|call_again","+54 7 27-4115 1447","40553"
"Sonni H. Oribelle","84","20528767013","google Forms","techsource_29","+54 2 50 7205 1290","71389"
"Terrie R.","58","50852333239","Email response","limit|special|actionpending","6-32 2064 6518","56686"
" Scoles","148","31845305422","Email RESPONSE","case1|case1|call_again","+54 8 39 6945 7047","99908"
"Joana Twelve","73","67374823105","Google forms","contactcenter_region1|on_consideration","2 61-1661 7384","49590"
"Madelyn Merta","6","32004455495","Manual registration","contactcenter_region3|on_consideration|most_interested","8 15 5498 1007","29264"
"Wynnie I. Leor","48","57074728144","Email response","contactcenter_region3|apply_0_cases18","+54 7 54-4937-19186","10464"
"Clementine C. Lymn","80","81444683277","Email RESPONSE","contactcenter_region3","1 21 3200 7574","70180"
"Gabriel Kinata","57","91172489486","Google forms","client_only|contactondemand","8 92 4025 7112","46252"
"Genni Chelsie","97","89887173531","MANUAL REGistration","contactcenter_region3|limit2","8 16 7550 4802","48552"
"Evita A. Germaun","4","75201560973","Email RESPONSE","any_applicant16|actionable|contactondemand","+54 7-43 9919 2598","15619"
"Haley Meingolda","100","68173710827","google Forms","most_interested23|case1|call_again30","2 66 4894-9106","92616"
"Wendye Dacey","88","26125391069","Facebook Leads","actionable","9 73-4336 8255","45274"
"Belia W. Chu","62","74308768099","facebok Leads","call_again","+54 8-73-3026 2460","86935"
"Gert Lemon","57","24830891879","facebook leads","techsource_29|contactcenter_region3|actionpending","6 30 3525 5137","49440"
"Andriana Wilt","115","54660159679","facebook leads","contactcenter_region3|techsource_29|client_only9","6 17 6565 1969","89144"
"Gale Yale","69","13304575910","Email RESPONSE","any_applicant","+54 1 72 4511-9184","73096"
"Sharyl V. Reba","118","96906640354","MANUAL REGistration","rangeof_action|contactcenter_region1","1 37 2034 6782","87219"
"Suzi Lynnworth","61","29056275481","MANUAL REGistration","most_interested2|call_again6|never_call","4 55-2453 8058","77922"
"Latrena D. Busey","10","88126272035","Google forms","rangeof_action|apply_0_cases28|call_again","1 70 4726 3818","28052"
"Reggi I. Stclair","60","66231572579","Google forms","contactondemand|client_only29|most_interested4","3 62 2602 9695","89144"
"Blanch E. Gredel","48","27043377532","google Forms","limit|remove_of_source14|possible_buyer","8 57-2776 5510","67119"
"Kirstyn E. Jochebed","17","31183161766","Manual registration","contactcenter_region118|any_applicant10","2 89 2135 8876","48675"
"Jannelle Pearce","5","27177827224","google Forms","contactcenter_region2","+54 1 10-6389 9807","27764"
"Tarah Burd","12","84158559610","Email RESPONSE","contactondemand","1 56 6566 2699","43107"
"Winnie Stortz","120","67432915602","google form","contactcenter_region3","4 80 1509 2743","12720"
"Maggee G. Hartzel","123","39273789674","Google forms","limit|never_call|possible_buyer","7 76 9334 1548","58613"
"Shandee K. Manthei","75","31724676420","Facebook Leads","actionpending|limit23","5 91 1845 6721","42223"
"Bianca Lonee","46","56144947143","Manual registration","form_ui344|contactcenter_region1|contactcenter_region4","+54 6 71 6504 6701","26506"
"Gwyn Gabrielle","23","95615468576","Facebook Leads","call_again","+54 2 15-7742-3474","64102"
"Adria Morrell","115","23673803065","MANUAL REGistration","source_dependant","7 23 6679-2630","14638"
"Myrlene C. Danuloff","44","57070910904","MANUAL REGistration","most_interested","6-12 5102 3699","49928"
"Jessamyn Raddi","17","25417718557","Manual registration","never_call","5 75 6575 25981","80383"
"Kristal M. Joshua","28","54133520932","Email response","never_call23|possible_buyer19|actionpending","7-18 6257 7190","73194"
" Hines","91","71974967763","Google forms","contactcenter_region3","4 19 5585-91617","14478"
"Callie Dael","123","21938353009","facebook leads","any_applicant|actionable","6 21 7299 6711","67805"
"Darline Latouche","42","40280887884","facebok Leads","on_consideration|on_consideration","5 29-5755 6016","91587"
"Britte O. Sebbie","93","89842317170","Email responce","source_dependant|possible_buyer23","5 15 8795 1072","80393"
"Kassia R. Sand","93","89842317170","manual-registration","contactcenter_region210","5 15 8795 1072","27790"
"Megan Rilda","94","46759938563","Email responce","any_applicant|rangeof_action26|limit","+54 3 60 9239 9432","66315"
"Charin B. Lillie","82","17443835761","Manual registration","special|case125|any_applicant","5-16 9738 9081","76084"
"Verla Huesman","39","44524079435","Email RESPONSE","actionable|contactcenter_region4|least_interested8","+54 3 17-6101 3111","56145"
"Romonda M. Hanleigh","58","84002236604","google Forms","techsource_29|contactondemand|techsource_29","5 29 8592 3270","98007"
"Whitney M. Filmer","120","69179345793","google Forms","techsource_29","7 23 2517 1263","31484"
"Oona T. Mllly","78","68014828886","manual-registration","form_ui344|contactcenter_region2","+54 1 38 3437-4830","84827"
"Charlene","68","72313816342","Google forms","client_only|limit15","1 57 3257 3868","92676"
"Inge Hussey","73","95787384174","google Forms","special|source_dependant17|call_again16","+54 2-83 9810 7118","35174"
"Lorie Lalla","103","18119804051","Google forms","possible_buyer","+54 3 24 4345 6113","87509"
"Nolana Bonnette","80","68794474478","MANUAL REGistration","contactcenter_region2|never_call20|limit9","8 18 6578 1117","68951"
"Martie","107","31018521261","Google forms","most_interested|any_applicant|any_applicant","7 40-7365 7438","43422"
"Henrietta Stu","83","66208901946","google Forms","actionable|treaty","8 35-8362 1194","41497"
"Dian M. Bohannon","114","84038958979","Google forms","client_only","2 35 5367 5009","95905"
" G. Kathy","42","27260992239","facebook leads","actionable|least_interested","5 77 8435-8944","79920"
"Wynn Danby","24","94145584180","MANUAL REGistration","treaty|least_interested","3 86 6465-37773","55207"
"Rosene S. Massey","117","21079547378","Facebook Leads","least_interested4|rangeof_action","6-54-8867 2521","42934"
"Rebeka Micky","104","95422385843","Manual registration","possible_buyer","2 10 2029 4219","30548"
"Melita Zimmermann","61","40417571659","Manual registration","source_dependant12","+54 4 76 8977 1286","92626"
"Ekaterina V. Odyssey","110","39112441443","Facebook Leads","treaty","3 63-8856 4526","56569"
"Doralyn E. Gilman","25","32275062881","Facebook Leads","treaty6|apply_0_cases21|special","6 22 6735 4272","76351"
"Dorree B. Changaris","94","81113896770","Email RESPONSE","special|never_call","5 33-4704 9958","58279"
"Carlin Kylstra","66","26003163294","Email RESPONSE","on_consideration10","+54 6 31-1699 4259","23463"
"Devora I. Fakieh","28","55040002652","Manual registration","contactcenter_region130|actionable26|client_only","9 94 4798 9149","62614"
"Oralla A. Neom","88","18551399425","Google forms","least_interested23","6 36 6134-4682","97876"
"Kameko N. Pappano","61","49118169042","facebook leads","possible_buyer|contactcenter_region1|treaty","4 12 1846 8898","38817"
"Agatha N.","7","45568139318","Google forms","apply_0_cases|treaty|contactcenter_region2","3 90-9449-8539","52118"
"Chelsie B. Katerine","62","4732775117859","facebok Leads","client_only29|treaty10|client_only","+54 1-34-7644 7377","37704"
"Dyanne R. Venus","40","47872326734","Google forms","techsource_29|contactcenter_region4","+54 4-71 3725 5993","66924"
"Hollie Rochette","111","67214411227","Facebook Leads","any_applicant|least_interested4","+54 4 14 4325 6359","66978"
"Lotta C. Ailbert","32","82489034835","Google forms","contactcenter_region4|case1|case1","+54 7 33-8069 3485","99774"
"Coretta Spence","93","36010375627","Manual registration","least_interested|special|rangeof_action","9-21 3368-9148","62879"
"Kelila W. Leanna","124","18678456448","facebok Leads","contactcenter_region15|call_again12|special22","1 59 3551 6520","10482"
"Evelina Atalanti","3","45268718885","Manual registration","rangeof_action","+54 6-42 8727 3021","97724"
"Taryn N. Thierry","4","59218086724","Email response","rangeof_action","1-50 5815-5442","90663"
"Moll Dickinson","78","93927772801","Email RESPONSE","apply_0_cases","+54 7 78 7734 25118","75529"
"Mariette","10","11994940265","facebook leads","form_ui344|any_applicant","+54 6 60-3314 1810","60744"
"Eden O. Lipcombe","31","65909190230","facebok Leads","source_dependant","5 14 4979 8419","93372"
"Amil Farmelo","57","93091926754","Manual registration","source_dependant","6 93 5241 6789","77788"
"Lebbie Lammond","4","56447126608","google Forms","possible_buyer30|on_consideration|apply_0_cases21","1 37 4621 1751","91482"
"Claudetta F. Bruni","74","61714262012","google Forms","techsource_2914|least_interested","4 30 2872-7355","93182"
"Roselia E. Vivyan","32","93736522574","google Forms","case1","+54 3 89-3776 3514","80078"
"Betty M. Veron","29","42390765823","manual-registration","on_consideration|least_interested8","+54 4 75 3581 2646","49758"
"Eleonora Ivana","59","80915144739","MANUAL REGistration","client_only","7-65 7105 7055","10993"
"Evangeline C. Golda","121","8144739256765","manual-registration","remove_of_source|contactcenter_region325|contactcenter_region415","6-94-1939 6050","47509"
"Tabitha Guevara","118","12312285659","Email RESPONSE","special","2 21-9138-8086","13380"
"Gilbertine Terza","12","53315570456","Manual registration","most_interested|case1|remove_of_source2","+54 5 94 3627 8958","38112"
"Winifred Schechter","82","23426852258","google Forms","case1","9 75-3722 5531","15213"
"Carmita T. Strade","76","96470030294","facebook leads","source_dependant|limit|call_again","+54 7 47 8856-4600","12720"
"Chelsey D. Glassman","72","17401045770","Email RESPONSE","least_interested9|possible_buyer|never_call","+54 9 29 8637 2723","42567"
"Cecily A. Gelb","109","49240984226","Facebook Leads","contactcenter_region1|on_consideration","+54 1 58-5545 8905","54049"
"Amata F. Beckerman","93","89842317170","facebook leads","techsource_29|on_consideration|actionable","5 15 8795 1072","91114"
"Carlotta Ledah","10","66214091141","Email response","case1|possible_buyer","1 54 9680-5896","20510"
"Jolynn N. Rozella","6","83688177503","facebook leads","case1|possible_buyer","4 29 9747 7036","55854"
"Lavina R. Bourne","32","78563457699","google form","contactcenter_region1|actionpending|treaty26","7-28 3800 5521","96555"
"Lorry Coridon","96","27439606210","MANUAL REGistration","contactondemand|case1|remove_of_source","+54 9 26 9229 3054","71178"
"Idalina Runkle","47","32361859385","google Forms","never_call|apply_0_cases","6 16 5739-1114","86249"
" N. Narda","57","29842934925","MANUAL REGistration","rangeof_action|client_only2","3 78-4845 1707","73541"
